name,municipal_code,,,,,
Abaqulusi Local Municipality,KZN263,,,,,
Albert Luthuli Local Municipality,MP301,,,,,
Alfred Duma Local Municipality,KZN238,,,,,
Amahlathi Local Municipality,EC124,,,,,
Ba-Phalaborwa Local Municipality,LIM334,,,,,
Beaufort West Local Municipality,WC053,,,,,
Bela-Bela Local Municipality,LIM366,,,,,
Bergrivier Local Municipality,WC013,,,,,
Big Five Hlabisa Local Municipality,KZN276,,,,,
Bitou Local Municipality,WC047,,,,,
Blouberg Local Municipality,LIM351,,,,,
Blue Crane Route Local Municipality,EC102,,,,,
Breede Valley Local Municipality,WC025,,,,,
Bushbuckridge Local Municipality,MP325,,,,,
Cape Agulhas Local Municipality,WC033,,,,,
Cederberg Local Municipality,WC012,,,,,
City of Matlosana Local Municipality,NW403,,,,,
Collins Chabane Local Municipality,LIM345,,,,,
Dannhauser Local Municipality,KZN254,,,,,
Dawid Kruiper Local Municipality,NC087,,,,,
Dihlabeng Local Municipality,FS192,,,,,
Dikgatlong Local Municipality,NC092,,,,,
Dipaleseng Local Municipality,MP306,,,,,
Ditsobotla Local Municipality,NW384,,,,,
Dr Beyers Naudé Local Municipality,EC101,,,,,
Dr JS Moroka Local Municipality,MP316,,,,,
Dr Nkosazana Dlamini Zuma Local Municipality,KZN436,,,,,
Drakenstein Local Municipality,WC023,,,,,
eDumbe Local Municipality,KZN261,,,,,
Elias Motsoaledi Local Municipality,LIM472,,,,,
Elundini Local Municipality,EC141,,,,,
eMadlangeni Local Municipality,KZN253,,,,,
Emakhazeni Local Municipality,MP314,,,,,
Emalahleni Local Municipality,EC136,,,,,
Emalahleni Local Municipality,MP312,,,,,
Emfuleni Local Municipality,GT421,,,,,
Emthanjeni Local Municipality,NC073,,,,,
Endumeni Local Municipality,KZN241,,,,,
Engcobo Local Municipality,EC137,,,,,
Enoch Mgijima Local Municipality,EC139,,,,,
Ephraim Mogale Local Municipality,LIM471,,,,,
Fetakgomo Tubatse Local Municipality,LIM476,,,,,
Ga-Segonyana Local Municipality,NC452,,,,,
Gamagara Local Municipality,NC453,,,,,
George Local Municipality,WC044,,,,,
Govan Mbeki Local Municipality,MP307,,,,,
Great Kei Local Municipality,EC123,,,,,
Greater Giyani Local Municipality,LIM331,,,,,
Greater Kokstad Local Municipality,KZN433,,,,,
Greater Letaba Local Municipality,LIM332,,,,,
Greater Taung Local Municipality,NW394,,,,,
Greater Tzaneen Local Municipality,LIM333,,,,,
Hantam Local Municipality,NC065,,,,,
Hessequa Local Municipality,WC042,,,,,
Impendle Local Municipality,KZN224,,,,,
Ingquza Hill Local Municipality,EC153,,,,,
Inkosi Langalibalele Local Municipality,KZN237,,,,,
Intsika Yethu Local Municipality,EC135,,,,,
Inxuba Yethemba Local Municipality,EC131,,,,,
JB Marks Local Municipality,NW405,,,,,
Joe Morolong Local Municipality,NC451,,,,,
Jozini Local Municipality,KZN272,,,,,
Kagisano-Molopo Local Municipality,NW397,,,,,
Kai !Garib Local Municipality,NC082,,,,,
Kamiesberg Local Municipality,NC064,,,,,
Kannaland Local Municipality,WC041,,,,,
Kareeberg Local Municipality,NC074,,,,,
Karoo Hoogland Local Municipality,NC066,,,,,
Kgatelopele Local Municipality,NC086,,,,,
Kgetlengrivier Local Municipality,NW374,,,,,
Khâi-Ma Local Municipality,NC067,,,,,
!Kheis Local Municipality,NC084,,,,,
King Sabata Dalindyebo Local Municipality,EC157,,,,,
