municipal_code,type_of_mun,province,seat,,,
KZN263,local,KwaZulu-Natal,Vryheid,,,
MP301,local,Mpumalanga,Carolina,,,
KZN238,local,KwaZulu-Natal,Ladysmith,,,
EC124,local,Eastern Cape,Stutterheim,,,
LIM334,local,Limpopo,Phalaborwa,,,
WC053,local,Western Cape,Beaufort West,,,
LIM366,local,Limpopo,Bela-Bela,,,
WC013,local,Western Cape,Piketberg,,,
KZN276,local,KwaZulu-Natal,Hlabisa,,,
WC047,local,Western Cape,Plettenberg Bay,,,
LIM351,local,Limpopo,Senwabarwana,,,
EC102,local,Eastern Cape,Somerset East,,,
WC025,local,Western Cape,Worcester,,,
MP325,local,Mpumalanga,Bushbuckridge,,,
WC033,local,Western Cape,Bredasdorp,,,
WC012,local,Western Cape,Clanwilliam,,,
NW403,local,North West,Klerksdorp,,,
LIM345,local,Limpopo,Malamulele,,,
KZN254,local,KwaZulu-Natal,Dannhauser,,,
NC087,local,Northern Cape,Upington,,,
FS192,local,Free State,Bethlehem,,,
NC092,local,Northern Cape,Barkly West,,,
MP306,local,Mpumalanga,Balfour,,,
NW384,local,North West,Lichtenburg,,,
EC101,local,Eastern Cape,Graaff-Reinet,,,
MP316,local,Mpumalanga,Siyabuswa,,,
KZN436,local,KwaZulu-Natal,Creighton,,,
WC023,local,Western Cape,Paarl,,,
KZN261,local,KwaZulu-Natal,Paulpietersburg,,,
LIM472,local,Limpopo,Groblersdal,,,
EC141,local,Eastern Cape,Maclear,,,
KZN253,local,KwaZulu-Natal,Utrecht,,,
MP314,local,Mpumalanga,Belfast,,,
EC136,local,Eastern Cape,Lady Frere,,,
MP312,local,Mpumalanga,eMalahleni,,,
GT421,local,Gauteng,Vanderbijlpark,,,
NC073,local,Northern Cape,De Aar,,,
KZN241,local,KwaZulu-Natal,Dundee,,,
EC137,local,Eastern Cape,Ngcobo,,,
EC139,local,Eastern Cape,Queenstown,,,
LIM471,local,Limpopo,Marble Hall,,,
LIM476,local,Limpopo,Apel,,,
NC452,local,Northern Cape,Kuruman,,,
NC453,local,Northern Cape,Kathu,,,
WC044,local,Western Cape,George,,,
MP307,local,Mpumalanga,Secunda,,,
EC123,local,Eastern Cape,Komga,,,
LIM331,local,Limpopo,Giyani,,,
KZN433,local,KwaZulu-Natal,Kokstad,,,
LIM332,local,Limpopo,Modjadjiskloof,,,
NW394,local,North West,Taung,,,
LIM333,local,Limpopo,Tzaneen,,,
NC065,local,Northern Cape,Calvinia,,,
WC042,local,Western Cape,Riversdale,,,
KZN224,local,KwaZulu-Natal,Impendle,,,
EC153,local,Eastern Cape,Flagstaff,,,
KZN237,local,KwaZulu-Natal,Estcourt,,,
EC135,local,Eastern Cape,Cofimvaba,,,
EC131,local,Eastern Cape,Cradock,,,
NW405,local,North West,Potchefstroom,,,
NC451,local,Northern Cape,Mothibistad,,,
KZN272,local,KwaZulu-Natal,Jozini,,,
NW397,local,North West,Ganyesa,,,
NC082,local,Northern Cape,Kakamas,,,
NC064,local,Northern Cape,Garies,,,
WC041,local,Western Cape,Ladismith,,,
NC074,local,Northern Cape,Carnarvon,,,
NC066,local,Northern Cape,Williston,,,
NC086,local,Northern Cape,Daniëlskuil,,,
NW374,local,North West,Koster,,,
NC067,local,Northern Cape,Pofadder,,,
NC084,local,Northern Cape,Groblershoop,,,
EC157,local,Eastern Cape,Mthatha,,,
WC048,local,Western Cape,Knysna,,,
FS162,local,Free State,Trompsburg,,,
EC109,local,Eastern Cape,Kareedouw,,,
EC108,local,Eastern Cape,Jeffreys Bay,,,
KZN292,local,KwaZulu-Natal,KwaDukuza,,,
WC051,local,Western Cape,Laingsburg,,,
WC026,local,Western Cape,Ashton,,,
MP305,local,Mpumalanga,Standerton,,,
NW396,local,North West,Christiana,,,
LIM355,local,Limpopo,Chuniespoort,,,
LIM362,local,Limpopo,Lephalale,,,
GT423,local,Gauteng,Heidelberg,,,
FS161,local,Free State,Koffiefontein,,,
NW372,local,North West,Brits,,,
FS205,local,Free State,Frankfort,,,
NC093,local,Northern Cape,Warrenton,,,
NW383,local,North West,Mahikeng,,,
EC104,local,Eastern Cape,Grahamstown,,,
LIM344,local,Limpopo,Louis Trichardt,,,
LIM473,local,Limpopo,Jane Furse,,,
FS194,local,Free State,Phuthaditjhaba,,,
NW393,local,North West,Schweizer-Reneke,,,
KZN291,local,KwaZulu-Natal,Mandeni,,,
FS196,local,Free State,Ladybrand,,,
KZN294,local,KwaZulu-Natal,Maphumulo,,,
NW404,local,North West,Wolmaransstad,,,
LIM335,local,Limpopo,Hoedspruit,,,
FS181,local,Free State,Theunissen,,,
EC441,local,Eastern Cape,Matatiele,,,
FS184,local,Free State,Welkom,,,
WC011,local,Western Cape,Vredendal,,,
EC121,local,Eastern Cape,Dutywa,,,
EC443,local,Eastern Cape,Bizana,,,
MP326,local,Mpumalanga,Nelspruit,,,
GT484,local,Gauteng,Carletonville,,,
FS204,local,Free State,Sasolburg,,,
EC156,local,Eastern Cape,Qumbu,,,
GT422,local,Gauteng,Meyerton,,,
KZN226,local,KwaZulu-Natal,Camperdown,,,
MP303,local,Mpumalanga,Piet Retief,,,
EC122,local,Eastern Cape,Gcuwa,,,
LIM368,local,Limpopo,Modimolle,,,
LIM367,local,Limpopo,Mokopane,,,
GT481,local,Gauteng,Krugersdorp,,,
FS163,local,Free State,Zastron,,,
LIM353,local,Limpopo,Dendron,,,
FS201,local,Free State,Kroonstad,,,
NW371,local,North West,Makapanstad,,,
NW375,local,North West,Mogwase,,,
WC043,local,Western Cape,Mossel Bay,,,
KZN223,local,KwaZulu-Natal,Mooi River,,,
KZN244,local,KwaZulu-Natal,Tugela Ferry,,,
MP302,local,Mpumalanga,Ermelo,,,
KZN225,local,KwaZulu-Natal,Pietermaritzburg,,,
KZN285,local,KwaZulu-Natal,Melmoth,,,
KZN275,local,KwaZulu-Natal,Mtubatuba,,,
LIM341,local,Limpopo,Musina,,,
FS185,local,Free State,Bothaville,,,
NW392,local,North West,Vryburg,,,
NC062,local,Northern Cape,Springbok,,,
EC105,local,Eastern Cape,Port Alfred,,,
KZN293,local,KwaZulu-Natal,Ndwedwe,,,
KZN252,local,KwaZulu-Natal,Newcastle,,,
EC126,local,Eastern Cape,Peddie,,,
FS203,local,Free State,Parys,,,
KZN286,local,KwaZulu-Natal,Nkandla,,,
FS193,local,Free State,Reitz,,,
MP324,local,Mpumalanga,Malalane,,,
KZN265,local,KwaZulu-Natal,Nongoma,,,
KZN242,local,KwaZulu-Natal,Nquthu,,,
EC444,local,Eastern Cape,Ntabankulu,,,
EC155,local,Eastern Cape,Libode,,,
KZN235,local,KwaZulu-Natal,Bergville,,,
